dt,base_byers_price_index,key_rate,dollar_rate
2019-07-15,,7.5,
2019-07-16,,7.5,62.828
2019-07-17,,7.5,62.8129
2019-07-18,,7.5,62.9451
2019-07-19,,7.5,62.8286
2019-07-20,,,62.8666
2019-07-22,,7.5,
2019-07-23,,7.5,62.9776
2019-07-24,,7.5,63.129
2019-07-25,,7.5,63.1162
2019-07-26,,7.5,63.1572
2019-07-27,,,63.1271
2019-07-29,,7.25,
2019-07-30,,7.25,63.521
2019-07-31,,7.25,63.3791
2019-08-01,,7.25,63.4172
2019-08-02,,7.25,63.834
2019-08-03,,,64.6423
2019-08-05,,7.25,
2019-08-06,,7.25,65.0546
2019-08-07,,7.25,65.203
2019-08-08,,7.25,65.0932
2019-08-09,,7.25,65.1299
2019-08-10,,,65.2543
2019-08-12,,7.25,
2019-08-13,,7.25,65.4287
2019-08-14,,7.25,65.6017
2019-08-15,,7.25,65.2032
2019-08-16,,7.25,65.8907
2019-08-17,,,65.9961
2019-08-19,,7.25,
2019-08-20,,7.25,66.6082
2019-08-21,,7.25,66.784
2019-08-22,,7.25,66.263
2019-08-23,,7.25,65.6196
2019-08-24,,,65.6046
2019-08-26,,7.25,
2019-08-27,,7.25,65.9735
2019-08-28,,7.25,66.2608
2019-08-29,,7.25,66.4127
2019-08-30,,7.25,66.7471
2019-08-31,,,66.4897
2019-09-02,,7.25,
2019-09-03,,7.25,66.6235
2019-09-04,,7.25,66.9072
2019-09-05,,7.25,66.5002
2019-09-06,,7.25,66.0528
2019-09-07,,,65.9981
2019-09-09,,7.0,
2019-09-10,,7.0,65.5698
2019-09-11,,7.0,65.4393
2019-09-12,,7.0,65.4321
2019-09-13,,7.0,65.1909
2019-09-14,,,64.4711
2019-09-16,,7.0,
2019-09-17,,7.0,63.8272
2019-09-18,,7.0,64.1213
2019-09-19,,7.0,64.429
2019-09-20,,7.0,64.2199
2019-09-21,,,63.8487
2019-09-23,,7.0,
2019-09-24,,7.0,63.9453
2019-09-25,,7.0,63.706
2019-09-26,,7.0,64.1873
2019-09-27,,7.0,64.2888
2019-09-28,,,64.4156
2019-09-30,,7.0,
2019-10-01,,7.0,64.6407
2019-10-02,,7.0,65.067
2019-10-03,,7.0,65.4399
2019-10-04,,7.0,65.1312
2019-10-05,,,65.03
2019-10-07,,7.0,
2019-10-08,,7.0,64.8259
2019-10-09,,7.0,64.8672
2019-10-10,,7.0,65.0976
2019-10-11,,7.0,64.7416
2019-10-12,,,64.2237
2019-10-14,,7.0,
2019-10-15,,7.0,64.3652
2019-10-16,,7.0,64.2548
2019-10-17,,7.0,64.3455
2019-10-18,,7.0,64.0144
2019-10-19,,,63.9542
2019-10-21,,7.0,
2019-10-22,,7.0,63.7606
2019-10-23,,7.0,63.6336
2019-10-24,,7.0,63.7997
2019-10-25,,7.0,63.86
2019-10-26,,,63.9966
2019-10-28,,6.5,
2019-10-29,,6.5,63.87
2019-10-30,,6.5,63.832
2019-10-31,,6.5,63.8734
2019-11-01,,6.5,63.7748
2019-11-02,,,64.0316
2019-11-05,,6.5,
2019-11-06,,6.5,63.248
2019-11-07,,6.5,63.588
2019-11-08,,6.5,63.7298
2019-11-09,,,63.7295
2019-11-11,,6.5,
2019-11-12,,6.5,63.9121
2019-11-13,,6.5,63.853
2019-11-14,,6.5,64.2009
2019-11-15,,6.5,64.2101
2019-11-16,,,63.8881
2019-11-18,,6.5,
2019-11-19,,6.5,63.7542
2019-11-20,,6.5,63.773
2019-11-21,,6.5,64.0213
2019-11-22,,6.5,63.843
2019-11-23,,,63.7101
2019-11-25,,6.5,
2019-11-26,,6.5,63.7637
2019-11-27,,6.5,64.0239
2019-11-28,,6.5,63.9722
2019-11-29,,6.5,64.1005
2019-11-30,,,64.0817
2019-12-02,,6.5,
2019-12-03,,6.5,64.4097
2019-12-04,,6.5,64.1401
2019-12-05,,6.5,64.1948
2019-12-06,,6.5,63.8135
2019-12-07,,,63.7185
2019-12-09,,6.5,
2019-12-10,,6.5,63.7244
2019-12-11,,6.5,63.5788
2019-12-12,,6.5,63.5653
2019-12-13,,6.5,63.2257
2019-12-14,,,62.5544
2019-12-16,,6.25,
2019-12-17,,6.25,62.7686
2019-12-18,,6.25,62.5326
2019-12-19,,6.25,62.5831
2019-12-20,,6.25,62.5283
2019-12-21,,,62.4071
2019-12-23,,6.25,
2019-12-24,,6.25,62.2499
2019-12-25,,6.25,62.1673
2019-12-26,,6.25,61.7164
2019-12-27,,6.25,61.7676
2019-12-28,,,62.0315
2019-12-30,,6.25,
2019-12-31,,6.25,61.9057
